"Doc.id","phone","samsung","edge","camera","display","s7","good","screen","iphone","battery","X1","service","X2","buy","mobile","experience","X3","awesome","feature","water","X4","market","product","great","nice","money","glass","problem","price","features","memory","amazon","X6s","worth","device","phones","galaxy","android","s6","bought","sim","time","app","day","days","smartphone","X7","card","fast","premium","ram","X8","light","worst","front","low","flagship","touch","amoled","amazing","high","gorilla","software","review","guys","performance","design","makes","hand","beast","super","apps","month","till","heating","people","love","issue","resistant","note","put","full","facing","X10","feels","usage","case","hands","quality","make","life","dual","power","apple","cameras","core","pixel","charging","wireless","compared","excellent","running","dust","stunning","X100","big","rating","update","gb","weeks","based","user","videos","hold","slot","takes","clear","vr","back","handle","handset","secondary","X32","ip68","storage","X4gb","charger","inch","technology","X8890","exynos","fingerprint","waterproof","brilliant","level","brand","play","started","waiting","X32gb","shows","beautiful","proof","pixels","speakers","major","htc","silver","primary","months","change","gaming","games","lot","reason","bad","single","means","box","superb","microsd","X16","usb","mode","rear","extra","top","years","metal","released","purchased","fact","sound","X2016","ghz","set","speaker","pictures","gold","updates","company","view","release","whatsapp","build","micro","cool","support","internal","X12","notifications","mobiles","charge","radio","cover","s4","auto","feel","flash","offers","quick","sd","hours","output","fm","game","colours"
1,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.07,1.05,1.09,1.02,1.06,1.05,1.03,1.01,0,1.05,1.02,0,1.03,0,1.01,1.01,1.03,0,1.01,0,1.01,1.01,1.01,1.01,1.01,0,0,1.01,1.01,0,1.02,0,0,1.01,1.01,1.01,1.01,1.03,1.03,0,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.05,1.02,1.01,0,1.01,1.02,0,1.02,1.01,0,1.01,1.01,1.01,1.01,0,0,1.01,0,1.02,1.01,1.02,1.01,0,1.01,1.07,0,1.01,1.01,0,0,1.02,0,1.01,0,0,1.01,1.01,1.01,1.04,1.02,0,1.01,1.01,1.04,1.01,1.02,0,1.01,1.01,1.02,1.01,1.01,1.01,1.01,0,0,0,0,1.01,1.01,1.01,1.01,1.01,0,1.01,1.01,0,1.03,1.01,1.01,1.02,1.01,0,1.01,1.01,1.01,0,1.03,0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0,0,0,0,0,0,1.01,0,0,1.01,1.02,0,1.01,1.02,0,0,1.01,1.01,0,1.03,1.01,1.01,0,1.01,1.01,1.01,0,1.01,1.05,0,1.01,0,0,0,0,0,0,1.03,1.02,0,0,1.01,1.01,1.02,1.03,1.02,1.01,1.01,0,1.02,1.01,1.06,1.01,1.01,1.01,1.02,1.02,0,1.04,0,0,0,0,0,0,1.02,1.03,1.03,1.02,1.04,0,0,1.07
3,1.27,0,1.16,0,0,1.19,1.2,0,0,0,0,0,0,1.12,0,0,0,1.12,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.04,0,1.05,0,0,0,1.34,1.07,0,1.14,0,0,0,0,0,1.08,0,0,1.08,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,1.09,0,0,0,0,1.19,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,1.13,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.01,1.05,1.07,1.05,1.03,1.14,1.02,1.03,0,1.06,1.02,0,1.01,0,1.06,1.01,1.02,1.01,1.03,1.01,1.01,1.01,0,1.05,1.04,0,1.01,1.01,1.02,1.01,1.02,0,0,0,0,0,1.16,0,1.01,0,1.02,1.03,1.01,1.01,0,0,0,1.03,1.01,0,1.04,1.01,1.01,0,1.04,1.01,0,1.02,1.01,1.01,1.02,1.02,1.01,1.03,0,1.03,1.02,0,1.01,0,1.02,1.02,0,1.01,0,0,0,0,0,0,1.01,0,1.02,1.01,0,0,0,1.02,1.01,1.01,1.02,1.02,1.02,0,0,1.01,1.02,1.03,1.02,0,0,1.01,1.02,0,1.02,0,0,0,0,0,0,0,1.02,1.02,0,1.01,1.02,1.01,1.03,1.01,0,1.01,0,0,0,1.03,1.01,0,1.01,1.01,1.01,1.01,1.01,0,1.03,0,0,0,0,1.01,1.04,0,0,0,1.02,0,0,0,1.01,0,0,1.02,1.03,0,0,0,0,0,0,1.03,1.01,0,0,1.02,1.01,1.03,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,1.03,0,1.01,0,0,1.03,0,1.03,1.01,1.01,1.03,1.01,0,1.05,0,0,1.02,1.03,0,0,0,0,0,0,1.07,0
6,1.05,1.14,1.23,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,1.26,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.13,0,1.07,1.07,1.08,0,0,0,1.09,0,0,0,0,0,0,0,0,1.1,1.1,0,0,0,0,1.2,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,1.12,1.11,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,1.12,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.03,1.03,1.02,1.03,1.04,1.02,0,0,0,1.02,1.02,0,1.02,0,0,1.05,1.02,0,1.02,0,1.02,0,0,1.09,0,0,1.05,1.03,0,1.02,0,0,0,0,1.08,0,0,0,0,0,0,0,0,1.05,0,1.05,1.03,0,1.08,1.03,1.05,1.03,1.03,0,0,1.03,1.03,0,1.03,0,0,0,1.03,1.06,0,0,1.14,0,0,1.03,1.03,0,0,0,1.03,0,0,1.03,0,0,0,0,0,0,0,1.03,0,1.06,1.03,0,0,0,1.09,0,0,0,0,1.03,1.03,0,0,0,0,0,0,1.03,0,0,0,0,1.03,1.06,0,0,0,0,0,0,0,1.03,0,0,0,1.03,0,1.03,1.06,0,1.03,1.03,1.03,1.03,1.03,0,0,0,0,0,0,0,0,1.03,0,0,1.07,0,0,0,0,1.03,0,1.03,1.03,0,0,0,0,0,1.07,0,0,0,1.03,1.03,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.03,1.02,1.09,1.04,1.06,1.05,1.02,1.03,0,1.06,1.04,0,1.04,0,1.06,0,1.03,0,1.03,1.01,1.03,1.01,0,0,0,0,1.01,0,0,1.03,0,0,0,1.02,1.04,0,0,1.03,1.13,1.02,1.01,1.06,0,1.02,1.02,0,0,0,1.02,0,0,0,1.02,0,1.02,1.02,0,0,0,0,1.02,1.02,0,1.02,0,1.03,0,1.02,1.02,0,0,0,0,0,0,0,0,1.02,1.02,0,1.02,1.02,0,0,0,1.07,1.02,0,0,0,1.03,0,0,0,1.02,0,1.02,1.02,1.02,1.06,0,0,1.02,0,1.04,0,0,1.02,0,1.02,0,1.02,0,1.04,1.06,1.02,1.02,0,0,1.02,1.02,0,1.02,1.02,1.02,0,0,1.04,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,1.02,0,0,1.04,0,0,0,0,0,0,0,1.02,0,0,1.02,1.04,0,1.02,1.04,0,0,1.04,1.02,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,1.02,1.02,0,0,0,1.1,0,0,0,0,0,1.05,1.02,0,0,0
10,1.29,0,0,1.16,1.17,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
